,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTGS,ATGS,HTGC,ATGC,HTP,ATP,HM1,HM2,HM3,HM4,HM5,AM1,AM2,AM3,AM4,AM5,MW,HTFormPtsStr,ATFormPtsStr,HTFormPts,ATFormPts,HTWinStreak3,HTWinStreak5,HTLossStreak3,HTLossStreak5,ATWinStreak3,ATWinStreak5,ATLossStreak3,ATLossStreak5,HTGD,ATGD,DiffPts,DiffFormPts
22,2020-11-08,SCM Ramnicu Valcea,Buducnost BEMAX,38,25,H,117,119,117,119,0.0,0.08333333333333333,L,L,L,L,L,W,D,L,L,L,6.0,LLLLL,WDLLL,0,3,0,0,1,1,0,0,1,0,0.0,0.0,-0.08333333333333333,-0.08333333333333333
23,2020-11-14,HC Podravka Vegeta,Brest Bretagne Handball,29,33,NH,137,144,137,144,0.1111111111111111,0.16666666666666666,L,W,L,L,W,L,D,D,W,W,6.0,LWLLW,LDDWW,4,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.05555555555555555,-0.05555555555555555
24,2020-11-15,Team Esbjerg,Rostov-Don,24,25,NH,163,174,163,174,0.061224489795918366,0.22448979591836735,L,L,D,L,L,W,W,W,W,D,7.0,LLDLL,WWWWD,1,9,0,0,0,0,0,0,0,0,0.0,0.0,-0.16326530612244897,-0.16326530612244897
25,2020-11-19,CSM Bucuresti,Vipers Kristiansand,22,27,NH,168,163,168,163,0.20408163265306123,0.16326530612244897,W,W,W,L,W,D,L,D,W,W,7.0,WWWLW,DLDWW,8,6,0,0,0,0,0,0,0,0,0.0,0.0,0.04081632653061224,0.04081632653061224
26,2020-11-21,RK Krim Mercator,FTC-Rail Cargo Hungaria,26,32,NH,152,158,152,158,0.061224489795918366,0.12244897959183673,L,L,W,L,D,W,W,L,W,L,7.0,LLWLD,WWLWL,3,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.061224489795918366,-0.061224489795918366
27,2020-11-22,SG BBM Bietigheim,Metz Handball,25,28,NH,157,174,157,174,0.0,0.14285714285714285,L,L,L,L,L,D,W,L,W,W,7.0,LLLLL,DWLWW,0,7,0,0,1,1,0,0,0,0,0.0,0.0,-0.14285714285714285,-0.14285714285714285
28,2020-11-14,Buducnost BEMAX,SCM Ramnicu Valcea,29,28,H,144,155,144,155,0.061224489795918366,0.04081632653061224,L,W,D,L,L,W,L,L,L,L,7.0,LWDLL,WLLLL,3,2,0,0,0,0,0,0,1,0,0.0,0.0,0.02040816326530612,0.02040816326530612
29,2020-11-15,Odense Håndbold,CSKA,26,25,H,173,168,173,168,0.16326530612244897,0.22448979591836735,L,W,L,W,W,W,W,W,W,W,7.0,LWLWW,WWWWW,6,10,0,0,0,0,1,1,0,0,0.0,0.0,-0.061224489795918366,-0.08163265306122448
30,2020-11-16,Brest Bretagne Handball,HC Podravka Vegeta,32,25,H,177,166,177,166,0.16326530612244897,0.08163265306122448,W,L,D,D,W,L,L,W,L,L,7.0,WLDDW,LLWLL,6,2,0,0,0,0,0,0,0,0,0.0,0.0,0.08163265306122448,0.08163265306122448
31,2020-11-21,Győri Audi ETO KC,BV Borussia 09 Dortmund,34,29,H,192,160,192,160,0.20408163265306123,0.04081632653061224,W,W,W,D,W,L,L,L,W,L,7.0,WWWDW,LLLWL,9,2,0,0,0,0,0,0,0,0,0.0,0.0,0.16326530612244897,0.14285714285714285
32,2021-01-09,FTC-Rail Cargo Hungaria,CSM Bucuresti,31,27,H,190,190,190,190,0.125,0.15625,W,W,W,L,W,L,W,W,W,L,8.0,WWWLW,LWWWL,8,6,0,0,0,0,0,0,0,0,0.0,0.0,-0.03125,0.03125
33,2021-01-09,Vipers Kristiansand,Team Esbjerg,28,28,NH,190,187,190,187,0.15625,0.046875,W,D,L,D,W,L,L,L,D,L,8.0,WDLDW,LLLDL,6,1,0,0,0,0,0,0,0,0,0.0,0.0,0.109375,0.078125
34,2021-01-10,SG BBM Bietigheim,RK Krim Mercator,22,22,NH,182,178,182,178,0.0,0.046875,L,L,L,L,L,L,L,L,W,L,8.0,LLLLL,LLLWL,0,2,0,0,1,1,0,0,0,0,0.0,0.0,-0.046875,-0.03125
35,2021-01-10,Metz Handball,Rostov-Don,27,26,H,202,199,202,199,0.140625,0.203125,W,D,W,L,W,W,W,W,W,W,8.0,WDWLW,WWWWW,7,10,0,0,0,0,1,1,0,0,0.0,0.0,-0.0625,-0.046875
36,2020-11-22,Brest Bretagne Handball,Odense Håndbold,32,21,H,209,199,209,199,0.15625,0.15625,W,W,L,D,D,W,L,W,L,W,8.0,WWLDD,WLWLW,6,6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37,2021-01-09,Győri Audi ETO KC,CSKA,25,24,H,226,193,226,193,0.1875,0.171875,W,W,W,W,D,L,W,W,W,W,8.0,WWWWD,LWWWW,9,8,0,0,0,0,1,0,0,0,0.0,0.0,0.015625,0.015625
38,2021-01-09,SCM Ramnicu Valcea,HC Podravka Vegeta,35,20,H,183,191,183,191,0.03125,0.0625,L,W,L,L,L,L,L,L,W,L,8.0,LWLLL,LLLWL,2,2,0,0,1,0,0,0,0,0,0.0,0.0,-0.03125,0.0
