Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,
16/01/21,16:00:00,FTC-Rail Cargo Hungaria,Team Esbjerg,19,20,A,12,13,A,+
16/01/21,16:00:00,CSM Bucuresti,Rostov-Don,30,29,H,9,14,A,+
16/01/21,18:00:00,RK Krim Mercator,Metz Handball,22,28,A,10,14,A,+
10/01/21,16:00:00,Győri Audi ETO KC,SCM Ramnicu Valcea,36,23,H,12,15,A,+
16/01/21,16:00:00,CSKA,BV Borussia 09 Dortmund,30,28,H,19,12,H,+
17/01/21,16:00:00,Brest Bretagne Handball,Buducnost BEMAX,27,28,A,11,18,A,+
17/01/21,16:00:00,Odense Håndbold,HC Podravka Vegeta,32,33,A,18,17,H,+
20/01/21,18:45:00,FTC-Rail Cargo Hungaria,Metz Handball,36,31,H,18,15,H,+
24/01/21,16:00:00,Rostov-Don,CSM Bucuresti,31,29,H,14,17,A,+
24/01/21,16:00:00,Team Esbjerg,RK Krim Mercator,24,27,A,16,11,H,+
03/02/21,18:45:00,SG BBM Bietigheim,Vipers Kristiansand,25,25,D,11,13,A,+
17/01/21,16:00:00,HC Podravka Vegeta,CSKA,25,29,A,13,15,A,+
20/01/21,17:00:00,Buducnost BEMAX,Odense Håndbold,26,23,H,14,10,H,+
23/01/21,18:00:00,Győri Audi ETO KC,Brest Bretagne Handball,27,30,A,15,15,D,+
23/01/21,18:00:00,BV Borussia 09 Dortmund,SCM Ramnicu Valcea,26,24,H,13,10,H,+
06/02/21,16:00:00,FTC-Rail Cargo Hungaria,SG BBM Bietigheim,31,28,H,14,11,H,+
06/02/21,16:00:00,CSM Bucuresti,Team Esbjerg,23,23,D,15,10,H,+
06/02/21,16:00:00,RK Krim Mercator,Rostov-Don,24,21,H,17,15,H,+
07/02/21,16:00:00,Metz Handball,Vipers Kristiansand,28,28,D,12,16,A,+
24/01/21,14:00:00,BV Borussia 09 Dortmund,HC Podravka Vegeta,29,24,H,13,12,H,+
24/01/21,16:00:00,SCM Ramnicu Valcea,CSKA,27,32,A,9,17,A,+
29/01/21,19:00:00,Buducnost BEMAX,Győri Audi ETO KC,24,24,D,8,14,A,+
31/01/21,14:00:00,Odense Håndbold,Brest Bretagne Handball,31,26,H,18,16,H,+
08/02/21,18:45:00,Metz Handball,FTC-Rail Cargo Hungaria,30,27,H,11,15,A,+
10/02/21,18:45:00,Rostov-Don,Vipers Kristiansand,23,23,D,16,15,H,+
13/02/21,16:00:00,CSM Bucuresti,SG BBM Bietigheim,25,22,H,16,12,H,+
13/02/21,16:00:00,RK Krim Mercator,Team Esbjerg,29,24,H,12,12,D,+
06/02/21,16:00:00,Brest Bretagne Handball,BV Borussia 09 Dortmund,33,34,A,17,20,A,+
06/02/21,18:00:00,HC Podravka Vegeta,Győri Audi ETO KC,15,30,A,8,13,A,+
07/02/21,14:00:00,CSKA,Buducnost BEMAX,27,25,H,12,10,H,+
07/02/21,16:00:00,Odense Håndbold,SCM Ramnicu Valcea,25,27,A,10,13,A,+
13/02/21,18:00:00,Vipers Kristiansand,RK Krim Mercator,37,32,H,16,15,H,+
14/02/21,14:00:00,Team Esbjerg,SG BBM Bietigheim,33,34,A,18,14,H,+
12/09/20,16:00:00,Rostov-Don,FTC-Rail Cargo Hungaria,36,29,H,13,13,D,+
13/02/21,16:00:00,Metz Handball,CSM Bucuresti,22,22,D,11,7,H,+
13/02/21,18:00:00,Odense Håndbold,Győri Audi ETO KC,24,38,A,14,13,H,+
